,postal_code,contact_id
0,TN14 6LX,1
1,TN14 6LX,5
2,TN14 6LX,6
3,SW22BP,4
4,NE1 6PA,23
5,EH8 8PJ,25
6,CF10 4AL,26
7,BT4 3BU,27
8,BT12 4PD,28
9,M1 2WD,33
10,BT4 3SH,45
11,EH8 8FT,46
12,CF10 4DQ,50
13,L20 7YX,53
14,E14 4QZ,54
15,YO1 7PR,56
16,BS16 1EJ,57
17,EC4A 1AB,58
18,EC4M 7JN,60
19,SR43 2SB,62
20,TW9 4DU,63
21,SE11 5EF,64
22,E14 4QZ,65
23,E14 4PU,66
24,CV1 3BH,67
25,M1 2WD,68
26,B5 4UA,72
27,SA7 0AN,271
28,NG1 6LP,272
29,BA1 1JG,301
30,DN15 6NL,302
31,BS23 1UJ,303
32,BB1 7DY,304
33,NE61 2EF,305
34,FY1 1NA,306
35,NG5 4FW,307
36,BH2 6EB,308
37,PE1 1HF,309
38,RG12 1JD,310
39,PL1 3BJ,311
40,BN3 3BQ,312
41,PO1 2AL,313
42,BS1 9NE,314
43,RG1 2LU,315
44,SG17 5TQ,316
45,TS10 1RT,317
46,CW1 2BJ,318
47,LE15 6HP,319
48,CH1 2NP,320
49,SY2 6ND,321
50,TR14 8SX,322
51,SL1 2EL,323
52,DH1 5UZ,324
53,SO15 0LJ,325
54,DL1 5QT,326
55,SS2 6ER,327
56,DE1 2FS,328
57,BS37 0DB,329
58,DT4 8NN,330
59,TS18 1TW,331
60,HU17 9BA,332
61,ST4 1HH,333
62,WA8 7QF,334
63,SN1 2JH,335
64,TS24 8AY,336
65,TF3 4EJ,337
66,HR4 0LE,338
67,RM17 6SL,339
68,TQ 3DR,340
69,HU1 2AA,341
70,WA1 1UH,342
71,LE2 7SQ,343
72,RG14 5LD,344
73,LU1 2BQ,345
74,BA14 8JN,346
75,ME4 4TR,347
76,SL6 1RF,348
77,TS1 9FT,349
78,RG40 1BN,350
79,MK9 3EJ,351
80,YO1 6GA,352
81,DN31 1HU,353
82,S70 2DR,354
83,OL16 1XU,355
84,B8 2HE,356
85,S60 1AE,357
86,BL1 1RU,358
87,NE33 2RL,359
88,BD1 1HX,360
89,M27 5AW,361
90,BL9 7QZ,362
91,B69 3DE,363
92,HX5 0LP,364
93,L20 7AE,365
94,CV1 5RR,366
95,S1 2SH,367
96,DN1 3BU,368
97,B91 3QB,369
98,DY1 1HF,370
99,WA10 1HF,371
100,NE8 1HH,372
101,SK1 3UR,373
102,HD1 1BY,374
103,SR2 7DN,375
104,L36 9UX,376
105,OL6 0GS,377
106,LS1 1UR,378
107,M33 7ZF,379
108,L1 6BW,380
109,WF1 2EB,381
110,M60 2LA,382
111,WS1 1TP,383
112,NE27 0BY,384
113,WN1 1YN,385
114,NE1 8QH,386
115,CH27 9FQ,387
116,OL1 1UT,388
117,WV1 1SH,389
118,HP20 1UY,390
119,LN1 1YL,391
120,CB3 0AP,392
121,NR1 2DH,393
122,CA1 1RD,394
123,HG1 5QE,395
124,DE4 3AG,396
125,NN1 1DE,397
126,NN15 7QX,398
127,EX2 4QD,399
128,NG2 7QP,400
129,BN7 1UE,401
130,OX1 1ND,402
131,CM1 1QH,403
132,TA1 4DY,404
133,GL1 2TG,405
134,ST5 9BJ,406
135,SO23 8UJ,407
136,IP1 2BX,408
137,SG13 8DQ,409
138,RH2 8EF,410
139,CT11 9ST,411
140,CV34 4RL,412
141,PR1 8XB,413
142,PO19 1RG,414
143,LE3 8RA,415
144,WR5 2NP,416
145,AB11 9QQ,417
146,AB16 5GB,418
147,DD8 1AN,419
148,PA31 8RT,420
149,EH1 1YJ,421
150,FK10 1EB,422
151,HS1 2PW,423
152,DG1 2DD,424
153,DD1 3BY,425
154,KA3 7BU,426
155,G66 1TJ,427
156,EH41 3HA,428
157,G46 6UG,429
158,FK1 5RS,430
159,KY7 5LT,431
160,G2 1DU,432
161,PA15 1LY,433
162,EH22 1DN,434
163,KA12 8EE,435
164,ML1 1PN,436
165,KW15 1NY,437
166,PH1 5GD,438
167,PA1 1WB,439
168,TD9 7PS,440
169,ZE1 QHB,441
170,KA7 1DR,442
171,ML3 0AA,443
172,FK8 2ET,444
173,IV3 5NX,445
174,IV30 1BX,446
175,G82 1QL,447
176,EH48 2HA,448
177,CF10 4UW,449
178,SA31 1JP,450
179,SY23 3UE,451
180,LL16 3RJ,452
181,CH7 6NB,453
182,LL55 1SH,454
183,LL77 7TW,455
184,NP15 1GA,456
185,NP20 4UR,457
186,SA61 1TP,458
187,LD1 5LG,459
188,SA1 3SN,460
189,NP23 6XB,461
190,CF31 4WB,462
191,CF82 7PG,463
192,LL29 7AZ,464
193,CF47 8AN,465
194,SA13 1PJ,466
195,CF40 2XX,467
196,NP4 6YB,468
197,CF63 4RU,469
198,LL11 1LG,470
199,BT41 1BW,471
200,BT20 4BT,472
201,BT60 4EL,473
202,BT1 5GS,474
203,BT52 1EY,475
204,BT48 7NN,476
205,BT74 7BA,477
206,BT27 4RL,478
207,BT43 5EJ,479
208,BT71 6DT,480
209,BT35 8DJ,481
210,MK40 1RA,482
211,IG11 7LU,483
212,TW3 3EB,484
213,NW4 4BG,485
214,N1 1XR,486
215,DA6 7AT,487
216,W8 7NX,488
217,HA9 0FJ,489
218,KT1 1EU,490
219,BR1 3UH,491
220,SW2 1RW,492
221,WC1H 9JE,493
222,SE6 4RU,494
223,CR0 1EA,495
224,SM4 5DX,496
225,W5 2HL,497
226,E6 2RT,498
227,EN1 3XA,499
228,IG1 1NY,500
229,SE18 6HQ,501
230,TW1 3BZ,502
231,E8 1DY,503
232,SE1 2QH,504
233,W6 9JU,505
234,SM1 1EA,506
235,N22 8LE,507
236,E14 2BG,508
237,HA1 2XY,509
238,E17 4JF,510
239,RM1 3BB,511
240,UB8 1UW,513
241,SE1 2AA,515
242,CB7 4LS,516
243,M1 6EU,517
244,L3 1BP,518
245,NE27 0QQ,519
246,S1 2BQ,520
247,TS17 6QY,521
248,BS1 6EW,522
249,B19 3SD,523
250,LS1 2DE,524
251,SE1 2AA,1376
252,CB7 4LS,1377
253,M1 6EU,1378
254,L3 1BP,1379
255,NE27 0QQ,1380
256,S1 2BQ,1381
257,TS17 6QY,1382
258,BS1 6EW,1383
259,B19 3SD,1384
260,LS1 2DE,1385
261,MK42 9AP,1386
262,BS1 1JG,1387
263,CA28 7SJ,1388
264,DN1 3BU,1389
265,E8 1EA,1390
266,LE1 1FZ,1391
267,SE6 4RU,1392
268,L1 6BW,1393
269,NG19 7BH,1394
270,TS1 9FT,1395
271,London,1396
272,NE27 0BY,1397
273,M27 5AW,1398
274,E14 2BG,1399
275,WD17 3EX,1400
276,EH99 1SP,1401
277,CF99 1SN,1402
278,BT4 3XX,1403
279,EH3 9QA,1409
280,BT7 1HE,1410
281,SE16 9GQ,1411
282,BT7 1SH,1412
